country,e_new_mdr_pcnt
Afghanistan,3.5
Albania,0.58
Algeria,1.4
American Samoa,4.9
Andorra,0
Angola,1.8
Anguilla,2.2
Antigua and Barbuda,2.2
Argentina,2.2
Armenia,9.4
Aruba,2.2
Australia,1.9
Austria,3.5
Azerbaijan,22
Bahamas,3.7
Bahrain,1.9
Bangladesh,1.4
Barbados,1.8
Belarus,35
Belgium,1.3
Belize,2.2
Benin,0.5
Bermuda,0
Bhutan,2.2
Bolivia (Plurinational State of),1.2
Bonaire Saint Eustatius and Saba,50
Bosnia and Herzegovina,0.14
Botswana,2.5
Brazil,1.4
British Virgin Islands,2.2
Brunei Darussalam,0
Bulgaria,2.3
Burkina Faso,1.8
Burundi,2.5
Cabo Verde,1.8
Cambodia,1.4
Cameroon,2.5
Canada,0.57
Cayman Islands,0
Central African Republic,0.44
Chad,1.8
Chile,0.69
China,5.7
China Hong Kong SAR,0.97
China Macao SAR,0.77
Colombia,2.4
Comoros,1.8
Congo,2.5
Cook Islands,0
Costa Rica,1.5
C̫te d'Ivoire,2.5
Croatia,0.28
Cuba,0.74
Cura̤ao,0
Cyprus,4
Czech Republic,1.5
Democratic People's Republic of Korea,2.2
Democratic Republic of the Congo,2.5
Denmark,1.2
Djibouti,1.8
Dominica,0
Dominican Republic,6.6
Ecuador,4.9
Egypt,3.4
El Salvador,0.33
Equatorial Guinea,1.8
Eritrea,1.8
Estonia,20
Ethiopia,1.6
Fiji,0
Finland,1.5
France,0.45
French Polynesia,0
Gabon,2.5
Gambia,0.48
Georgia,9.2
Germany,1.5
Ghana,1.8
Greece,0.87
Greenland,1.8
Grenada,2.2
Guam,0
Guatemala,3
Guinea,0.56
Guinea-Bissau,1.8
Guyana,2.2
Haiti,2.2
Honduras,1.8
Hungary,2.1
Iceland,0
India,2.2
Indonesia,1.9
Iran (Islamic Republic of),5
Iraq,3.5
Ireland,1.1
Israel,4.7
Italy,3.9
Jamaica,2.2
Japan,0.7
Jordan,6.3
Kazakhstan,23
Kenya,2.5
Kiribati,4.9
Kuwait,0
Kyrgyzstan,26
Lao People's Democratic Republic,4.9
Latvia,11
Lebanon,1.1
Lesotho,0.91
Liberia,1.8
Libya,3.5
Lithuania,11
Luxembourg,0
Madagascar,0.49
Malawi,0.42
Malaysia,0.1
Maldives,2.2
Mali,1.8
Malta,0
Marshall Islands,4.1
Mauritania,1.8
Mauritius,0
Mexico,2.4
Micronesia (Federated States of),4.9
Monaco,1.8
Mongolia,1.4
Montenegro,0
Montserrat,2.2
Morocco,0.48
Mozambique,3.5
Myanmar,4.2
Namibia,3.8
Nauru,4.9
Nepal,2.3
Netherlands,1.6
New Caledonia,0
New Zealand,0.44
Nicaragua,0.63
Niger,1.8
Nigeria,2.9
Niue,4.9
Northern Mariana Islands,0
Norway,1.3
Oman,2.4
Pakistan,3.5
Palau,0
Panama,2.2
Papua New Guinea,4.9
Paraguay,0.31
Peru,3.9
Philippines,4
Poland,0.49
Portugal,1.5
Puerto Rico,0
Qatar,1.2
Republic of Korea,2.7
Republic of Moldova,24
Romania,2.8
Russian Federation,23
Rwanda,3.9
Saint Kitts and Nevis,2.2
Saint Lucia,2.2
Saint Vincent and the Grenadines,2.2
Samoa,0
San Marino,1.8
Sao Tome and Principe,1.8
Saudi Arabia,1.8
Senegal,2.1
Serbia,0.84
Seychelles,0
Sierra Leone,0.85
Singapore,1.6
Sint Maarten (Dutch part),2.2
Slovakia,0
Slovenia,0
Solomon Islands,4.9
Somalia,5.2
South Africa,1.8
South Sudan,1.8
Spain,0.22
Sri Lanka,0.18
Sudan,1.8
Suriname,2.2
Swaziland,7.7
Sweden,2.4
Switzerland,1.2
Syrian Arab Republic,6.2
Tajikistan,13
Thailand,1.7
The Former Yugoslav Republic of Macedonia,0
Timor-Leste,2.2
Togo,1.8
Tokelau,4.9
Tonga,4.9
Trinidad and Tobago,1.8
Tunisia,0.82
Turkey,3.2
Turkmenistan,3.8
Turks and Caicos Islands,1.8
Tuvalu,4.9
Uganda,1.4
Ukraine,14
United Arab Emirates,1.8
United Kingdom of Great Britain and Northern Ireland,1.3
United Republic of Tanzania,1.1
United States of America,1
Uruguay,0
Uzbekistan,23
Vanuatu,0
Venezuela (Bolivarian Republic of),0.52
Viet Nam,2.7
Wallis and Futuna Islands,4.9
West Bank and Gaza Strip,3.5
Yemen,1.7
Zambia,0.33
Zimbabwe,1.9
